name,value,year,lastValue,rank
Nintendo,6086,2013,6185.6,62
KFC,6059,2014,6072.3,66
Johnson & Johnson,6041,2017,6015.9,73
Volkswagen,6032,2006,5990.5,45
IKEA,6031,2000,6031,28
Colgate,6025,2007,5985.8,47
Hyundai,6005,2011,5907.8,54
IKEA,6005,2001,6007.6,32
L'Or??al,6005,2005,5994.7,42
Visa,5998,2014,5944.7,67
KFC,5994,2012,5984.8,59
Panasonic,5983,2017,6021.2,74
Prada,5977,2014,5936.3,68
Caterpillar,5976,2015,6059.6,70
Danone,5960,2009,5904.8,51
Zara,5955,2008,5876,51
Discovery,5944,2016,6000.5,70
Tiffany & Co.,5936,2014,5886.4,69
KFC,5902,2011,5896.2,55
L'Or??al,5902,2004,5871.8,39
Philips,5901,2005,5748.7,43
DHL,5881,2018,5864.4,79
Burberry,5873,2015,5845.1,71
KFC,5844,2010,5831.8,52
Huawei,5835,2016,5746.7,71
Chanel,5830,2007,5762.6,48
Panasonic,5821,2013,5815.4,63
Sprite,5811,2013,5800.8,64
Johnson & Johnson,5790,2016,5764.3,72
Sprite,5777,2010,5777,53
Accenture,5772,2004,5724.9,40
Panasonic,5765,2012,5693.2,60
Tiffany & Co.,5761,2016,5815.5,73
Ferrari,5760,2018,5671.6,80
Discovery,5756,2013,5756,65
Discovery,5755,2018,5720.6,81
KFC,5742,2016,5731.7,74
Mastercard,5736,2016,5717.5,75
Caterpillar,5730,2018,5643.8,82
Morgan Stanley,5724,2013,5873.4,66
KFC,5722,2009,5708,52
DHL,5715,2017,5714.3,75
Sprite,5709,2012,5698.5,61
DHL,5708,2016,5676.3,76
eBay,5701,2005,5600.9,44
Land Rover,5696,2016,5637.3,77
KFC,5682,2007,5648.8,49
Harley-Davidson,5671,2017,5656.6,76
Kia,5666,2015,5639,72
Sprite,5646,2014,5662.5,70
Tiffany & Co.,5642,2018,5617.2,83
Jack Daniel's,5641,2018,5610.1,84
KFC,5639,2015,5681,73
Colgate,5633,2006,5588.3,46
Volkswagen,5617,2005,5696.3,45
Sprite,5604,2011,5621.3,56
L'Or??al,5600,2003,5547.9,37
Caterpillar,5598,2011,5508.6,57
Burberry,5594,2014,5553.5,71
Nestl??,5592,2008,5564.2,52
Netflix,5592,2017,5592,77
KFC,5582,2008,5592,53
FedEx,5579,2016,5534.1,78
KFC,5576,2003,5553,38
Prada,5570,2013,5440.1,67
Apple,5554,2003,5530.2,39
Mastercard,5551,2015,5471.7,74
Shell,5535,2013,5460.3,68
Johnson & Johnson,5533,2015,5499.1,75
Harley-Davidson,5532,2001,5532,33
Shell,5530,2015,5605.8,76
Harley-Davidson,5527,2016,5520.3,79
Corona,5517,2018,5442.9,85
Prada,5504,2016,5575.8,80
adidas,5495,2010,5485.2,54
Cartier,5495,2012,5423.6,62
KFC,5481,2018,5464.2,86
Philips,5481,2000,5481,29
Visa,5465,2013,5412.9,69
Apple,5464,2001,5577,34
Audi,5461,2010,5415.9,55
Harley-Davidson,5460,2015,5391.2,77
Tiffany & Co.,5440,2013,5411.9,70
Caterpillar,5425,2016,5480.1,81
Facebook,5421,2012,5421,63
3M,5413,2013,5337.3,71
Amazon,5411,2007,5340.6,50
Discovery,5411,2017,5464.3,78
Danone,5408,2008,5369.1,54
PayPal,5408,2017,5351.1,79
Audi,5407,2008,5352.9,55
adidas,5397,2009,5364.5,53
Kia,5396,2014,5327.2,72
Tiffany & Co.,5394,2017,5430.7,80
Heineken,5393,2018,5371.8,87
DHL,5391,2015,5360.3,78
Banco Santander,5382,2014,5309.8,73
Starbucks,5382,2014,5283.7,74
John Deere,5375,2018,5315.8,88
Sprite,5365,2015,5393.1,79
Gucci,5363,2001,5341.6,35
Burberry,5362,2016,5413.1,82
LEGO,5362,2015,5362,80
Herm??s,5356,2011,5298.6,58
KFC,5350,2006,5326.2,47
KFC,5346,2002,5337.5,36
Allianz,5345,2011,5300.9,59
